ID,LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
26,Panek,Michael,,84105,Salt Lake City,UT,,8013626000
841,Cebulski,Kate,,84102,Salt Lake City,UT,,8015505000
1933,Engel,Megan,,84102,Salt Lake City,UT,,8015505000
1940,Gilbert,Kristen,,84121,Salt Lake City,UT,,8015505000
1950,Myett,Student,,84106,Salt lake city,UT,,8015505000
1956,Xx,Adrienne,,84121,Salt Lake City,UT,,8015505000
1960,Ludmer,Eileen,,84103,Salt Lake City,UT,,8015505000
1966,Boozel,Alex,,84103,Salt Lake City,UT,,8015505000
1972,Berkley,Susan,,84102,Salt Lake City,UT,,8015505000
1979,Kopkin,Emma,,84102,Salt Lake City,UT,,8015505000
1988,Armacost,Kate,,84102,Salt Lake City,UT,,8015505000
4246,Woolworth,Lindsey,,84111,salt lake city,UT,,8013594000
4718,Wynn,Rich,,84109,Salt Lake City,UT,,8015505000
